# Numerical solutions of Blasius ODE equations for Pr = 1
-----------------------------------------
eta           f'              Theta
-----------------------------------------
0.0	0.000000000000000	1.000000000000000
0.1	0.046959081171931	0.953023193946281
0.2	0.093905301281839	0.906062927535416
0.3	0.140805622496750	0.859152234868580
0.4	0.187605144013566	0.812345994706334
0.5	0.234227479216932	0.765720539970927
0.6	0.280575466387623	0.719372934498181
0.7	0.326532312273669	0.673419818338127
0.8	0.371963253406297	0.627995737464071
0.9	0.416717798683942	0.583250895179270
1.0	0.460632587965053	0.539348291282479
1.1	0.503534865493190	0.496460250861110
1.2	0.545246525160857	0.454764386179016
1.3	0.585588639160766	0.414439080258293
1.4	0.624386335714193	0.375658626200631
1.5	0.661473849323767	0.338588198071603
1.6	0.696699532803844	0.303378862901459
1.7	0.729930598529377	0.270162864766093
1.8	0.761057350552332	0.239049417426633
1.9	0.789996681806065	0.210121229335875
2.0	0.816694642104969	0.183431953444982
2.1	0.841127931523790	0.159004705693862
2.2	0.863304236405178	0.136831733917770
2.3	0.883261396332330	0.116875248455339
2.4	0.901065463401119	0.0990693534340578
2.5	0.916807783176330	0.0833229503061174
2.6	0.930601283502645	0.0695234289455492
2.7	0.942576197889717	0.0575409214078428
2.8	0.952875471466124	0.0472328722998190
2.9	0.961650098690945	0.0384486784195420
3.0	0.969054624501140	0.0310341675577904
3.1	0.975243007574809	0.0248357189406239
3.2	0.980365000396191	0.0197038713102244
3.3	0.984563150909757	0.0154963140612421
3.4	0.987970479773461	0.0120802072019417
3.5	0.990708839961584	0.00933382283584573
3.6	0.992887925100598	0.00714754100574367
3.7	0.994604861602178	0.00542426395515069
3.8	0.995944298309789	0.00407933420699458
3.9	0.996978895829094	0.00304005348386952
4.0	0.997770114942671	0.00224490239785103
4.1	0.998369207920444	0.00164255659006012
4.2	0.998818326247955	0.00119078545861333
4.3	0.999151671389430	0.000855306676142286
4.4	0.999396629924146	0.000608655109898122
4.5	0.999574849272759	0.000429109982347894
4.6	0.999703224147731	0.000299710263976335
4.7	0.999794776066164	0.000207376127325314
4.8	0.999859418338804	0.000142144232297836
4.9	0.999904606762578	9.65167960254850e-05
5.0	0.999935881879097	6.49187490072298e-05
5.1	0.999957312348230	4.32535679086069e-05
5.2	0.999971851039076	2.85462941847400e-05
5.3	0.999981616207239	1.86614530525259e-05
5.4	0.999988109947266	1.20837418349441e-05
5.5	0.999992385288455	7.75015559541411e-06
5.6	0.999995172098352	4.92340449310501e-06
5.7	0.999996970574063	3.09784855789919e-06
5.8	0.999998119686342	1.93058175884873e-06
5.9	0.999998846596941	1.19163609272466e-06
6.0	0.999999301857661	7.28485486285002e-07
6.1	0.999999584150587	4.41077191143834e-07
6.2	0.999999757451339	2.64496315945904e-07
6.3	0.999999862783630	1.57083695722680e-07
6.4	0.999999926168156	9.23941337277959e-08
6.5	0.999999963931077	5.38214071864027e-08
6.6	0.999999986205607	3.10498008037946e-08
6.7	0.999999999213655	1.77399197647981e-08
6.8	1.000000000000000	1.00375949625326e-08
6.9	1.000000000000000	5.62456775040194e-09
7.0	1.000000000000000	3.12123560021611e-09
7.1	1.000000000000000	1.71529356571387e-09
7.2	1.000000000000000	9.33515659133578e-10
7.3	1.000000000000000	5.03121488455625e-10
7.4	1.000000000000000	2.68527785950647e-10
7.5	1.000000000000000	1.41927912704294e-10
7.6	1.000000000000000	7.42858076397841e-11
7.7	1.000000000000000	3.85035407207562e-11
7.8	1.000000000000000	1.97628562085887e-11
7.9	1.000000000000000	1.00450131757896e-11
8.0	1.000000000000000	5.05592579251603e-12
8.1	1.000000000000000	2.51998499477664e-12
8.2	1.000000000000000	1.24376998507766e-12
8.3	1.000000000000000	6.07889801256606e-13
8.4	1.000000000000000	2.94205050097104e-13
8.5	1.000000000000000	1.40998206935749e-13
8.6	1.000000000000000	6.69133360622716e-14
8.7	1.000000000000000	3.14444567287081e-14
8.8	1.000000000000000	1.46319703259932e-14
8.9	1.000000000000000	6.74186260995115e-15
9.0	1.000000000000000	3.07579566588955e-15
9.1	1.000000000000000	1.38930365489511e-15
9.2	1.000000000000000	6.21173899402233e-16
9.3	1.000000000000000	2.74795135346887e-16
9.4	1.000000000000000	1.20150712932407e-16
9.5	1.000000000000000	5.17936237198469e-17
9.6	1.000000000000000	2.18779268638882e-17
9.7	1.000000000000000	8.91566137632299e-18
9.8	1.000000000000000	3.35496873871299e-18
9.9	1.000000000000000	9.93169262218338e-19
10	1.000000000000000	0.000000000000000
